feature_set_file,feature_column,feature_type,param_config,n_dimensions,task,ari,silhouette_score,calinski_harabasz_score,inertia
params/feature_set_2.joblib,hog_features,PCA,"{'hsv': {'bins': (16, 16, 16)}, 'lbp': {'numPoints': 32, 'radius': 4, 'method': 'uniform'}, 'hog': {'orientations': 12, 'pixels_per_cell': (4, 4), 'cells_per_block': (2, 2)}}",2228,H1,0.9147805652662472,0.0911123620304248,370.9524770785623,2681235.5592774586
params/feature_set_2.joblib,hog_features,Original,"{'hsv': {'bins': (16, 16, 16)}, 'lbp': {'numPoints': 32, 'radius': 4, 'method': 'uniform'}, 'hog': {'orientations': 12, 'pixels_per_cell': (4, 4), 'cells_per_block': (2, 2)}}",27648,H1,0.9147805652662472,0.0854489038892591,350.7197247594279,2835919.001372669
params/feature_set_2.joblib,hog_lbp_features,PCA,"{'hsv': {'bins': (16, 16, 16)}, 'lbp': {'numPoints': 32, 'radius': 4, 'method': 'uniform'}, 'hog': {'orientations': 12, 'pixels_per_cell': (4, 4), 'cells_per_block': (2, 2)}}",2227,H1,0.9147805652662472,0.0918278599064471,374.5111581792074,2683280.9588683946
params/feature_set_2.joblib,hog_lbp_features,Original,"{'hsv': {'bins': (16, 16, 16)}, 'lbp': {'numPoints': 32, 'radius': 4, 'method': 'uniform'}, 'hog': {'orientations': 12, 'pixels_per_cell': (4, 4), 'cells_per_block': (2, 2)}}",27682,H1,0.9147805652662472,0.0861290640474239,354.0610904976545,2838268.3483836064
params/feature_set_2.joblib,hog_hsv_features,PCA,"{'hsv': {'bins': (16, 16, 16)}, 'lbp': {'numPoints': 32, 'radius': 4, 'method': 'uniform'}, 'hog': {'orientations': 12, 'pixels_per_cell': (4, 4), 'cells_per_block': (2, 2)}}",2231,H1,0.9147805649214564,0.091113549380011,369.38871869583454,2708141.3575884867
params/feature_set_2.joblib,hog_hsv_features,Original,"{'hsv': {'bins': (16, 16, 16)}, 'lbp': {'numPoints': 32, 'radius': 4, 'method': 'uniform'}, 'hog': {'orientations': 12, 'pixels_per_cell': (4, 4), 'cells_per_block': (2, 2)}}",31744,H1,0.9147805649214564,0.0853779111714465,349.2432948095846,2864360.367939812
params/feature_set_2.joblib,all_features,PCA,"{'hsv': {'bins': (16, 16, 16)}, 'lbp': {'numPoints': 32, 'radius': 4, 'method': 'uniform'}, 'hog': {'orientations': 12, 'pixels_per_cell': (4, 4), 'cells_per_block': (2, 2)}}",2230,H1,0.9137769537814204,0.0917321051559633,372.910571933382,2710192.293164037
params/feature_set_2.joblib,all_features,Original,"{'hsv': {'bins': (16, 16, 16)}, 'lbp': {'numPoints': 32, 'radius': 4, 'method': 'uniform'}, 'hog': {'orientations': 12, 'pixels_per_cell': (4, 4), 'cells_per_block': (2, 2)}}",31778,H1,0.9137769537814204,0.0859745778733676,352.55069546632194,2866711.109208265
params/feature_set_7.joblib,lbp_hsv_features,PCA,"{'hsv': {'bins': (4, 8, 2)}, 'lbp': {'numPoints': 24, 'radius': 2, 'method': 'uniform'}, 'hog': {'orientations': 18, 'pixels_per_cell': (8, 8), 'cells_per_block': (2, 2)}}",16,H1,0.910769421697514,0.5512068182879261,5648.780488912295,3090.348112260957
params/feature_set_7.joblib,lbp_hsv_features,Original,"{'hsv': {'bins': (4, 8, 2)}, 'lbp': {'numPoints': 24, 'radius': 2, 'method': 'uniform'}, 'hog': {'orientations': 18, 'pixels_per_cell': (8, 8), 'cells_per_block': (2, 2)}}",90,H1,0.910769421697514,0.5296830269326255,5018.004241266162,3478.9375839490253
