feature_set_file,feature_column,feature_type,task,k,silhouette_score,calinski_harabasz_score,inertia
params/feature_set_1.joblib,hsv_features,PCA,H2-KMeans-Elbow,14,0.24817746877670288,2111.614013671875,17998.267578125
params/feature_set_1.joblib,hsv_features,PCA,H2-KMeans-Elbow,16,0.2680046260356903,2111.656005859375,16456.724609375
params/feature_set_1.joblib,hsv_features,PCA,H2-KMeans-Elbow,18,0.2772953510284424,2056.365478515625,15428.9970703125
params/feature_set_1.joblib,hsv_features,PCA,H2-KMeans-Elbow,20,0.2777853012084961,2002.260009765625,14573.673828125
params/feature_set_1.joblib,hsv_features,PCA,H2-KMeans-Elbow,22,0.2859356701374054,1952.9384765625,13835.3115234375
params/feature_set_1.joblib,hsv_features,PCA,H2-KMeans-Elbow,24,0.2870773375034332,1894.80712890625,13254.0048828125
params/feature_set_1.joblib,hsv_features,PCA,H2-KMeans-Elbow,26,0.28797033429145813,1848.67822265625,12706.009765625
params/feature_set_1.joblib,hsv_features,PCA,H2-KMeans-Elbow,28,0.2846844494342804,1820.42919921875,12146.9560546875
params/feature_set_1.joblib,lbp_features,Original,H2-KMeans-Elbow,2,0.1962761658704607,4623.954614664287,7604.351948688081
params/feature_set_1.joblib,lbp_features,Original,H2-KMeans-Elbow,4,0.20379259042695466,4542.4115806332575,5418.005558531413
params/feature_set_1.joblib,lbp_features,Original,H2-KMeans-Elbow,6,0.1982947431067837,4109.706176604643,4437.035282828115
params/feature_set_1.joblib,lbp_features,Original,H2-KMeans-Elbow,8,0.1809154092906777,3567.755490451514,3976.4654934279806
params/feature_set_1.joblib,lbp_features,Original,H2-KMeans-Elbow,10,0.17416245573164174,3173.8006234191735,3667.550508176805
params/feature_set_1.joblib,lbp_features,Original,H2-KMeans-Elbow,12,0.16851870434790267,2861.1628704320206,3450.28882019891
params/feature_set_1.joblib,lbp_features,Original,H2-KMeans-Elbow,14,0.157762574350271,2635.5865557706206,3264.74892307233
params/feature_set_1.joblib,lbp_features,Original,H2-KMeans-Elbow,16,0.15653398918416928,2449.2986237231044,3115.901352424061
params/feature_set_1.joblib,lbp_features,Original,H2-KMeans-Elbow,18,0.15402615708433662,2277.8406777365813,3006.07177955152
params/feature_set_1.joblib,lbp_features,Original,H2-KMeans-Elbow,20,0.1482401491084356,2153.463001900283,2893.352014582367
params/feature_set_1.joblib,lbp_features,Original,H2-KMeans-Elbow,22,0.14952936726294094,2045.5158031666433,2795.7732253652357
params/feature_set_1.joblib,lbp_features,Original,H2-KMeans-Elbow,24,0.13870472627763608,1948.1834256158304,2712.664107730875
params/feature_set_1.joblib,lbp_features,Original,H2-KMeans-Elbow,26,0.1386113613925371,1858.8687464726286,2642.0946849939437
params/feature_set_1.joblib,lbp_features,Original,H2-KMeans-Elbow,28,0.13718159314913864,1780.057530844284,2577.973544503453
params/feature_set_1.joblib,lbp_features,PCA,H2-KMeans-Elbow,2,0.20734234835886947,4907.406832398034,7163.568207192498
params/feature_set_1.joblib,lbp_features,PCA,H2-KMeans-Elbow,4,0.218149264275904,4937.011591446415,4980.514996385582
params/feature_set_1.joblib,lbp_features,PCA,H2-KMeans-Elbow,6,0.21475825878165503,4556.380431958568,3999.335793227817
params/feature_set_1.joblib,lbp_features,PCA,H2-KMeans-Elbow,8,0.19739030404061655,4004.4016231604196,3539.9181809641273
params/feature_set_1.joblib,lbp_features,PCA,H2-KMeans-Elbow,10,0.190442153317618,3588.712786213541,3237.442921799037
params/feature_set_1.joblib,lbp_features,PCA,H2-KMeans-Elbow,12,0.18424833575369132,3257.455105665966,3023.446858032852
params/feature_set_1.joblib,lbp_features,PCA,H2-KMeans-Elbow,14,0.18258778044871438,2995.8743793525578,2856.942320190043
params/feature_set_1.joblib,lbp_features,PCA,H2-KMeans-Elbow,16,0.17568445490368842,2824.178389792666,2694.171010658264
params/feature_set_1.joblib,lbp_features,PCA,H2-KMeans-Elbow,18,0.16543035166420741,2646.3053270626788,2581.1215405587523
params/feature_set_1.joblib,lbp_features,PCA,H2-KMeans-Elbow,20,0.16724673427060616,2504.6011548819147,2478.078522387125
params/feature_set_1.joblib,lbp_features,PCA,H2-KMeans-Elbow,22,0.16093025697238564,2402.8968789282503,2373.3785064025606
params/feature_set_1.joblib,lbp_features,PCA,H2-KMeans-Elbow,24,0.15847030968686202,2297.2409214924264,2293.2133671930433
params/feature_set_1.joblib,lbp_features,PCA,H2-KMeans-Elbow,26,0.15729322557354922,2193.337821045006,2229.8592039062128
params/feature_set_1.joblib,lbp_features,PCA,H2-KMeans-Elbow,28,0.15803493847775105,2088.4000765367377,2182.895496804851
params/feature_set_1.joblib,hog_features,Original,H2-KMeans-Elbow,2,0.05147441794544414,1169.7162784049933,2376326.4461313225
params/feature_set_1.joblib,hog_features,Original,H2-KMeans-Elbow,4,0.03500101135604766,789.0065693228072,2234448.9406660744
params/feature_set_1.joblib,hog_features,Original,H2-KMeans-Elbow,6,0.042569254912474375,603.9697695223871,2163974.1239870167
params/feature_set_1.joblib,hog_features,Original,H2-KMeans-Elbow,8,0.047651245475557505,516.0186502359235,2103758.44257399
params/feature_set_1.joblib,hog_features,Original,H2-KMeans-Elbow,10,0.04357887856347966,449.0085043401051,2062179.7766722643
